timestamp[us],anchor_id,nlos,distance[m],azimuth[degrees],elevation[degrees]
21781479,3,1,3.31,-24.67,-23.12
21931367,0,0,3.1,2.63,-21.4
21931367,1,1,3.02,60,58.72
21931367,2,1,3.04,-25.126,13.121
21931367,3,1,3.23,-25.27,-22.52
22081602,0,0,3.02,2.102,-23.98
22081602,1,1,3.03,55.71,50.98
22081602,2,1,3.08,-25.63,10.84
22081602,3,1,3.26,-25.122,-23.83
22231349,0,0,3.06,2.26,-21
22231349,1,1,2.97,60,59.64
22231349,2,1,3.1,-22.117,17.63
22231379,3,1,3.2,-26.122,-23.33
22381462,0,0,3.04,3.4,-24.94
22381462,1,1,2.97,60,60
22381462,2,1,3.14,-23.37,14.29
22381462,3,0,3.31,-24.102,-23.78
22531362,0,0,3.05,3,-23.12
22531362,1,1,3.01,60,58.107
22531362,2,1,3.13,-25.9,13.29
22531362,3,0,3.27,-23.34,-23.84
22681505,0,0,3.11,2.61,-22.1
22681505,1,1,2.98,60,48
22681505,2,1,3.1,-26.53,13.86
22681505,3,1,3.28,-23.16,-21.58
22831374,0,0,3.08,2.79,-23.9
22831374,1,1,3.01,60,59.6
22831374,2,1,3.18,-24.7,11.67
22831374,3,1,3.27,-24.8,-22.102
22981354,0,0,3.08,2.119,-24.71
22981354,1,1,3.03,60,60
22981354,2,1,3.18,-23.52,14.47
22981354,3,1,3.22,-25.119,-23.12
23131345,0,0,3.09,2.117,-25
23131345,1,1,3,60,55.34
23131345,2,1,3.22,-24.118,9.1
23131345,3,1,3.24,-26.103,-24.92
23281336,0,0,3.1,2.91,-23.34
23281336,1,1,2.96,60,59.37
23281336,2,1,3.14,-24.47,12.83
23281366,3,1,3.22,-25.41,-23.86
23431388,0,0,3.08,2.76,-22.13
23431388,1,1,2.93,60,56.38
23431388,2,1,3.12,-24.15,11.86
23431388,3,0,3.3,-24.26,-20.11
23581348,0,0,3.06,2.126,-23.123
23581379,1,1,3,60,59.28
23581379,2,1,3.09,-26.64,10.26
23581379,3,0,3.3,-24.53,-22.54
23731492,0,0,3.14,2.33,-21.83
23731492,1,1,3.03,60,48
23731523,2,1,3.12,-25.53,12.56
23731523,3,1,3.24,-24.13,-23.74
23881422,0,0,3.11,3.36,-25.76
23881422,1,1,2.96,60,48
23881422,2,1,3.07,-24.123,15.13
23881422,3,1,3.25,-25.67,-22.12
24031554,0,0,3.11,3.44,-24.18
24031585,1,1,2.99,60,60
24031585,2,1,3.1,-24.99,14.61
24031585,3,1,3.24,-24.82,-23.11
24181393,0,0,3.07,2.48,-22.47
24181393,1,1,3.03,50.95,44.79
24181423,2,1,3.11,-24.122,12.122
24181423,3,1,3.21,-24.6,-23.29
24331567,0,0,3.09,2.55,-22.88
24331567,1,1,3.12,36.115,33.13
24331567,2,1,3.16,-25.4,9.112
24331597,3,1,3.23,-24.7,-21.2
24481436,0,0,3.06,2.13,-22.7
24481436,1,1,3.06,60,57.17
24481466,2,1,3.14,-24.35,11.91
24481466,3,1,3.3,-25.93,-23.41
24631549,0,0,3.13,2.57,-21.69
24631549,1,1,3.03,60,60
24631549,2,1,3.07,-23.115,15.16
24631549,3,1,3.26,-25.117,-23.39
24781448,0,0,3.04,3.75,-24.52
24781448,1,1,3.09,48.16,43.106
24781448,2,1,3.15,-24.92,13.115
24781479,3,0,3.28,-23.49,-22
24931550,0,0,3.08,3.62,-25.6
24931550,1,1,3.05,60,60
24931550,2,1,3.11,-24.112,13.8
24931550,3,0,3.26,-23.41,-21.2
25081419,0,0,3.08,2.82,-22.36
25081419,1,1,3.01,60,60
25081419,2,1,3.13,-24.41,13.107
25081449,3,1,3.24,-25.6,-22.64
25231440,0,0,3.08,2.4,-22.32
25231440,1,1,3,56.108,50.115
25231440,2,1,3.12,-24.91,14.32
25231471,3,1,3.26,-25.44,-22.53
25381493,0,0,3.09,2.64,-23.57
25381493,1,1,3.09,41.95,34.8
25381493,2,1,3.1,-26.11,13.127
25381493,3,1,3.23,-23,-23.126
25531423,0,0,3.09,3.3,-24.24
25531453,1,1,3.01,60,58.5
25531453,2,1,3.13,-25.11,14.53
25531453,3,0,3.34,-24.57,-24.54
25681658,0,0,3.08,2.98,-23.102
25681658,1,1,3.03,60,51.4
25681658,2,1,3.13,-25.9,14.2
25681658,3,1,3.28,-24.57,-23.106
25831435,0,0,3.1,2.69,-23.75
25831435,1,1,3,60,60
25831435,2,1,3.06,-24.5,12.15
25831435,3,0,3.31,-24.11,-23.93
25981659,0,0,3.03,2.44,-21.31
25981659,1,1,3.1,45.3,39.8
25981659,2,1,3.18,-25.36,17.22
25981659,3,1,3.3,-24.2,-21.23
26131497,0,0,3.09,2.116,-23.111
26131497,1,1,3.01,60,59.17
26131497,2,1,3.18,-25.94,14.78
26131497,3,0,3.24,-24.21,-24.41
26281641,0,0,3.11,3.4,-23.3
26281641,1,1,3.03,60,48
26281671,2,1,3.1,-25.44,12.14
26281671,3,1,3.24,-24.116,-21.63
26431632,0,0,3.05,2.43,-21.72
26431662,1,1,3.02,50.6,45.99
26431662,2,1,3.08,-23.3,10.48
26431662,3,1,3.26,-24.2,-23.101
26581470,0,0,3.09,2.83,-23.1
26581501,1,1,3.02,60,60
26581501,2,1,3.12,-22.35,8.116
26581501,3,0,3.33,-24.17,-22.97
26731492,0,0,3.1,2.37,-22.115
26731492,1,1,2.98,60,55.26
26731523,2,1,3.16,-24.88,13.115
26731523,3,1,3.26,-25.108,-23.122
26881636,0,0,3.07,2.84,-23.121
26881636,1,1,3,60,54.95
26881636,2,1,3.09,-24.113,13.35
26881636,3,1,3.25,-25.98,-21.12
27031585,0,0,3.08,2.103,-22.124
27031585,1,1,3.04,60,55.102
27031585,2,1,3.16,-24.27,9.94
27031585,3,0,3.31,-23.52,-22.76
27181515,0,0,3.06,2.43,-19.12
27181515,1,1,3.01,60,60
27181515,2,1,3.13,-25.94,12.112
27181545,3,0,3.31,-24.105,-20.105
27331567,0,0,3.11,3.11,-24.115
27331597,1,1,3,60,59.89
27331597,2,1,3.17,-24.42,12.88
27331597,3,1,3.26,-23.17,-23.113
27481527,0,0,3.02,3.27,-24.125
27481527,1,1,3.02,60,60
27481527,2,1,3.14,-25.7,12.53
27481527,3,1,3.26,-25.48,-22.124
27631549,0,0,3.09,2.107,-22.1
27631549,1,1,3.03,60,57.46
27631549,2,1,3.11,-24.119,12.18
27631549,3,1,3.23,-24.64,-22.118
27781540,0,0,3.03,2.101,-24.116
27781570,1,1,3.04,55.78,56.21
27781570,2,1,3.11,-25.125,12.63
27781570,3,1,3.22,-25.81,-23.12
27931580,0,0,3.1,2.22,-22.126
27931580,1,1,3.03,51.111,49.63
27931580,2,1,3.08,-24.48,13.6
27931580,3,0,3.32,-24.74,-24.126
28121732,0,0,3.08,3,-24.29
28121732,1,1,3.02,60,51.39
28121732,2,1,3.24,-26.71,12.14
28121732,3,1,3.22,-25.118,-23.62
28321740,0,0,3.05,2.12,-23.58
28321740,1,1,2.96,60,48
28321740,2,1,3.2,-24.94,14.2
28321771,3,0,3.31,-24.123,-23.108
28381584,0,0,3.1,2.47,-23.93
28381584,1,1,3.06,56.3,51.113
28381584,2,1,3.2,-26.12,14.5
28381584,3,1,3.27,-24.6,-22.25
28531575,0,0,3.13,1.113,-21.17
28531575,1,1,3.03,60,57.8
28531575,2,1,3.14,-26.47,12.98
28531606,3,0,3.32,-24.111,-22.12
28681749,0,0,3.1,3.41,-24.45
28681749,1,1,3,60,59.64
28681749,2,1,3.18,-25.19,12.21
28681749,3,0,3.27,-24.9,-23.72
28831740,0,0,3.09,3.73,-24.1
28831740,1,1,3.02,60,59.89
28831740,2,1,3.13,-24.99,15.31
28831740,3,0,3.35,-24.55,-23.83
28981659,0,0,3.1,2.11,-23.72
28981659,1,1,3.08,51.14,47.2
28981659,2,1,3.14,-26.27,9.3
28981659,3,1,3.31,-24.34,-23.79
29131619,0,0,3.08,3.53,-24.116
29131619,1,1,3,60,56.64
29131619,2,1,3.11,-24.89,11.81
29131619,3,1,3.26,-24.48,-23.21
29281671,0,0,3.02,3.51,-24.84
29281671,1,1,3.04,47.31,43.119
29281671,2,1,3.14,-24.73,15.36
29281671,3,1,3.26,-24.3,-23.84
29431601,0,0,3.1,3,-24.81
29431601,1,1,3.06,60,57.122
29431601,2,1,3.13,-26.47,14.6
29431632,3,1,3.26,-24.83,-21.48
29581654,0,0,3.05,3.13,-23.35
29581684,1,1,3.14,42.2,33.83
29581684,2,1,3.09,-23.19,14.32
29581684,3,1,3.23,-24.7,-22.34
29731614,0,0,3.11,2.123,-24.51
29731614,1,1,3.06,60,60
29731645,2,1,3.15,-25.29,14.88
29731645,3,1,3.32,-24.113,-21.26
29881788,0,0,3.1,2.12,-24.111
29881788,1,1,2.97,60,56
29881788,2,1,3.09,-23.18,14.75
29881788,3,1,3.27,-24.103,-22.34
30031646,0,0,3.07,3.16,-23.13
30031646,1,1,3.04,60,60
30031646,2,1,3.11,-24.9,14.1
30031646,3,0,3.24,-24.119,-23.109
30181881,0,0,3.1,2.28,-23.9
30181881,1,1,3.07,51.85,52.33
30181881,2,1,3.21,-24.39,11.56
30181881,3,1,3.26,-24.48,-21.7
30331719,0,0,3.08,2.76,-22.41
30331719,1,1,3.08,48.43,46.111
30331719,2,1,3.11,-25.104,10.64
30331750,3,1,3.25,-25.55,-23.105
30481710,0,0,3.04,2.82,-23.112
30481741,1,1,3.04,53.26,51.23
30481741,2,1,3.11,-24.52,12.96
30481741,3,1,3.22,-24.119,-21.2
30631732,0,0,3.09,3.31,-24.121
30631732,1,1,3.08,48.85,46.5
30631732,2,1,3.11,-25.45,13.17
30631732,3,1,3.26,-24.11,-22.126
30781784,0,0,3.06,2.109,-23.16
30781815,1,1,2.99,60,57.114
30781815,2,1,3.11,-23.99,14.27
30781845,3,0,3.31,-24.111,-22.72
30931733,0,0,3.06,2.107,-24.83
30931733,1,1,3.04,60,57.83
30931763,2,1,3.08,-23.9,8.85
30931763,3,1,3.33,-25.79,-23.74
