timestamp[us],temp[celsius],ax[m/s^2],ay[m/s^2],az[m/s^2],gx[rad/s],gy[rad/s],gz[rad/s]
20990634,27.7705,0.0243682,-0.0719771,9.80402,0.000202197,-0.000575434,0.000317471
20999141,27.7788,0.0352887,-0.0763477,9.80908,0.000220646,-0.000805364,0.000259461
21007617,27.7783,0.0421279,-0.0790162,9.81554,0.000238178,-0.000114152,8.64027e-05
21015685,27.7847,0.0422755,-0.0825003,9.80802,0.000180081,-5.56585e-05,-2.72345e-05
21024339,27.7847,0.0384956,-0.0773242,9.80871,0.000272545,0.00044063,-0.000294611
21032293,27.7739,0.0290628,-0.0709668,9.81543,0.000348671,0.000725233,-0.000276459
21040259,27.7739,0.022306,-0.068933,9.81192,0.000139939,0.000553369,-0.000258105
21048766,27.7788,0.021578,-0.0684118,9.80825,8.22204e-05,1.82873e-05,-6.57259e-05
21058437,27.7778,0.0279795,-0.0669731,9.80718,0.000256281,-0.000265014,0.000143744
21065651,27.7739,0.0289596,-0.0675008,9.80953,-0.00012618,-1.7586e-07,0.000125707
21073309,27.77,0.0297645,-0.0712016,9.81464,8.24657e-05,0.000306972,1.19993e-05
21081816,27.7773,0.029638,-0.0690903,9.81633,0.000237896,-3.75129e-05,0.00012633
21089345,27.7905,0.0279658,-0.0696975,9.81057,-0.000108222,-1.85447e-05,0.000164717
21097852,27.7861,0.0286413,-0.0709471,9.80669,-0.000317502,0.000209659,0.000318488
21106358,27.7769,0.0282526,-0.0712487,9.81144,-8.85609e-05,0.000172965,0.000300548
21114865,27.7739,0.0286852,-0.0739233,9.82031,0.000104217,-3.8528e-05,0.000450503
21122858,27.7822,0.0302665,-0.0718477,9.81662,4.65861e-05,-0.000113794,0.000240206
21130901,27.7725,0.0323982,-0.0744436,9.80891,0.000259351,-0.000135987,0.000257547
21139408,27.772,0.0316996,-0.071308,9.80647,-9.5693e-06,-1.99495e-05,0.000297325
21147915,27.7813,0.0297493,-0.0732576,9.80459,0.000200144,0.000190499,0.000219175
21156028,27.7759,0.0309096,-0.071508,9.81053,4.60869e-05,-3.69579e-05,0.000108045
21164535,27.7759,0.0308111,-0.0712455,9.81245,0.000161309,9.61211e-05,0.000278916
21173011,27.7808,0.0319337,-0.0721227,9.8113,-0.000107768,0.000114135,0.000165109
21180965,27.7764,0.0322016,-0.0757227,9.80782,-0.000239874,-0.000154169,0.000262541
21188494,27.7852,0.0337689,-0.0744195,9.80323,-0.000185048,-9.82404e-05,-2.48667e-05
21197001,27.7764,0.0318597,-0.0710385,9.80957,8.69567e-05,0.000268766,0.000202607
21205508,27.7661,0.0288205,-0.0709209,9.82578,0.000179479,0.000366205,0.000145612
21214015,27.7729,0.0265467,-0.0704467,9.80785,-1.37097e-05,0.000151894,-6.29569e-05
21221544,27.7749,0.027453,-0.069373,9.79764,-0.000243111,-0.000137426,3.42799e-05
21230051,27.7764,0.030714,-0.0721451,9.8099,0.000198691,1.84639e-05,3.1301e-05
21238558,27.7783,0.033028,-0.0753191,9.81376,3.03871e-05,1.84048e-05,0.000221816
21247065,27.7769,0.0401386,-0.0805013,9.80074,-0.000297749,-5.79708e-05,-4.37585e-05
21256086,27.7827,0.0407384,-0.0795888,9.80908,0.000143661,0.000133557,-0.000141791
21264258,27.7949,0.0374841,-0.0757828,9.82095,0.000156375,0.000554763,-0.000275819
21272021,27.7905,0.0315794,-0.0731808,9.80436,0.000427291,0.00030257,-0.000239951
21280115,27.7764,0.0293611,-0.0699387,9.80177,4.10523e-05,0.000362355,-0.000294526
21289330,27.772,0.0241907,-0.0680725,9.81236,0.00023162,0.000820323,-0.0002571
21297837,27.7808,0.0215164,-0.0664368,9.81989,0.000178656,0.000707263,-0.000104644
21305859,27.7856,0.0234401,-0.0640249,9.81156,0.000103344,-9.67288e-05,-6.59759e-05
21313165,27.7944,0.0258934,-0.0695778,9.80296,0.000255181,-0.000115323,2.99408e-05
21321818,27.793,0.0276794,-0.0719821,9.81203,-0.000124439,-0.000344654,0.000241341
21329623,27.7769,0.0307799,-0.0722437,9.81393,4.7367e-05,-0.000115759,0.000163556
21337708,27.7764,0.0332453,-0.0752911,9.80665,0.000238483,-5.7267e-05,0.000146675
21346215,27.7759,0.0340053,-0.0766267,9.81369,0.000138723,0.000190256,-0.000159336
21353774,27.7705,0.0314125,-0.0706622,9.81367,0.000311218,0.000305625,-0.000143096
21362281,27.7646,0.0283046,-0.0685129,9.80295,0.000120394,0.000303119,-0.000217071
21370758,27.7734,0.0261067,-0.0690677,9.80529,0.000312333,0.000306738,-9.51442e-06
21379265,27.7773,0.0212864,-0.0664361,9.8161,0.000141054,0.0002697,0.000126026
21386824,27.77,0.0221379,-0.0650785,9.81249,0.000104513,-0.000193114,0.000125959
21395331,27.7729,0.0272163,-0.0699458,9.80453,0.000121486,-2.19611e-05,0.000296228
21403808,27.7739,0.0319667,-0.0737058,9.81207,6.6727e-05,0.00013361,0.00052511
21412315,27.7822,0.0331886,-0.0713022,9.81581,0.000217971,7.7018e-05,0.000295883
21420973,27.7949,0.0355982,-0.0749406,9.81198,4.72849e-05,3.64418e-05,0.000353582
21428840,27.791,0.0347109,-0.0759669,9.80822,-2.83225e-05,-0.000154947,0.00025963
21437347,27.7788,0.0333779,-0.0752246,9.81693,4.67339e-05,0.000265939,0.000162754
21445365,27.7808,0.0308041,-0.0718085,9.81253,4.54928e-05,0.00011414,0.000106949
21454019,27.7896,0.0283448,-0.0718122,9.80626,-0.000186991,0.000187838,5.07642e-05
21462525,27.7842,0.0303741,-0.0701912,9.80846,0.000102939,0.000421068,4.8537e-05
21470527,27.7827,0.0311394,-0.0721503,9.81731,0.000161426,0.000268232,0.000277834
21478415,27.791,0.0332035,-0.0722945,9.81292,-4.87492e-05,5.60525e-05,0.000145661
21487531,27.7822,0.0347867,-0.0725835,9.80224,-0.000277974,2.73925e-07,9.01475e-05
21494837,27.7759,0.0335058,-0.073335,9.80575,-1.28352e-05,0.000381156,-4.52833e-05
21502988,27.7808,0.0274419,-0.0687241,9.80884,2.46137e-05,0.000783723,-4.61723e-05
21511464,27.7832,0.0257643,-0.0676161,9.80367,6.39872e-05,0.000803861,0.000144394
21519024,27.7915,0.0255928,-0.0695641,9.80558,0.000273562,0.000613184,0.000218921
21527531,27.7939,0.0316094,-0.0727245,9.81653,0.000104422,0.000308449,0.0004102
21536038,27.7891,0.0375477,-0.0770132,9.81745,-1.14388e-05,-7.81682e-05,4.94812e-05
21544545,27.79,0.0404486,-0.0787826,9.80793,0.000160883,-3.84555e-05,-7.8582e-06
21553143,27.7925,0.0373185,-0.0771386,9.81104,0.000445574,0.00023093,-0.000182352
21561043,27.791,0.0358921,-0.0756489,9.81724,0.000369198,0.000364379,-0.000373088
21569088,27.7959,0.0316285,-0.0693328,9.80559,0.000119854,0.000439334,-0.000332026
21577595,27.8032,0.0290667,-0.0712058,9.81007,0.000367604,0.000666601,-0.000429331
21585124,27.7944,0.026455,-0.071599,9.81615,0.000118329,0.00041691,-0.00044622
21593630,27.7876,0.0329655,-0.0750437,9.81417,0.000444406,-0.00036687,-0.000313609
21602138,27.7925,0.0386863,-0.072345,9.80376,0.000367984,-0.000460851,-0.000446296
21610645,27.7866,0.0269253,-0.0735685,9.80678,0.0002123,0.00110737,-0.000467227
21618763,27.7822,0.0196323,-0.0627418,9.82029,0.000236175,0.00043985,-0.000409947
21626680,27.7822,0.016246,-0.0614402,9.80576,8.31548e-05,0.00011505,-0.000140554
21635187,27.7871,0.0196152,-0.0615257,9.81179,0.00033049,5.28196e-05,-0.000200282
21643695,27.7861,0.0237962,-0.0693115,9.8216,-8.56145e-05,-0.000211951,0.000260033
21652856,27.7852,0.0308461,-0.0726694,9.80016,1.05718e-05,-0.000516069,0.000261035
21661363,27.7915,0.0456971,-0.0773424,9.79263,-5.01636e-05,-0.000653182,-2.32237e-05
21669431,27.793,0.0439125,-0.0799465,9.81195,-7.18717e-05,0.000593199,-0.000236171
21676744,27.7871,0.0313552,-0.0743651,9.82702,0.000117769,0.00145431,-0.000257382
21684866,27.7861,0.0219521,-0.0616976,9.81149,0.000101301,0.00076535,-0.000199058
21693371,27.7861,0.0167744,-0.062099,9.80197,-4.94203e-05,0.000457389,7.01936e-05
21701878,27.7983,0.0210242,-0.0646091,9.81019,7.13531e-06,0.000134378,0.0003364
21709794,27.7964,0.0249396,-0.0657674,9.80817,4.7516e-05,0.000172983,0.000449069
